realtime_start,value,date,realtime_end
2019-12-06,.,1988-12-01,2019-12-06
2019-12-06,.,1989-01-01,2019-12-06
2019-12-06,.,1989-02-01,2019-12-06
2019-12-06,.,1989-03-01,2019-12-06
2019-12-06,.,1989-04-01,2019-12-06
2019-12-06,.,1989-05-01,2019-12-06
2019-12-06,.,1989-06-01,2019-12-06
2019-12-06,.,1989-07-01,2019-12-06
2019-12-06,.,1989-08-01,2019-12-06
2019-12-06,.,1989-09-01,2019-12-06
2019-12-06,.,1989-10-01,2019-12-06
2019-12-06,.,1989-11-01,2019-12-06
2019-12-06,.,1989-12-01,2019-12-06
2019-12-06,.,1990-01-01,2019-12-06
2019-12-06,.,1990-02-01,2019-12-06
2019-12-06,.,1990-03-01,2019-12-06
2019-12-06,.,1990-04-01,2019-12-06
2019-12-06,.,1990-05-01,2019-12-06
2019-12-06,.,1990-06-01,2019-12-06
2019-12-06,.,1990-07-01,2019-12-06
2019-12-06,.,1990-08-01,2019-12-06
2019-12-06,.,1990-09-01,2019-12-06
2019-12-06,.,1990-10-01,2019-12-06
2019-12-06,.,1990-11-01,2019-12-06
2019-12-06,.,1990-12-01,2019-12-06
2019-12-06,.,1991-01-01,2019-12-06
2019-12-06,.,1991-02-01,2019-12-06
2019-12-06,.,1991-03-01,2019-12-06
2019-12-06,.,1991-04-01,2019-12-06
2019-12-06,.,1991-05-01,2019-12-06
2019-12-06,.,1991-06-01,2019-12-06
2019-12-06,.,1991-07-01,2019-12-06
2019-12-06,.,1991-08-01,2019-12-06
2019-12-06,.,1991-09-01,2019-12-06
2019-12-06,.,1991-10-01,2019-12-06
2019-12-06,.,1991-11-01,2019-12-06
2019-12-06,.,1991-12-01,2019-12-06
2019-12-06,808292,1992-01-01,2019-12-06
2019-12-06,809600,1992-02-01,2019-12-06
2019-12-06,812725,1992-03-01,2019-12-06
2019-12-06,815453,1992-04-01,2019-12-06
2019-12-06,815016,1992-05-01,2019-12-06
2019-12-06,820447,1992-06-01,2019-12-06
2019-12-06,825098,1992-07-01,2019-12-06
2019-12-06,826136,1992-08-01,2019-12-06
2019-12-06,827513,1992-09-01,2019-12-06
2019-12-06,827914,1992-10-01,2019-12-06
2019-12-06,829839,1992-11-01,2019-12-06
2019-12-06,835800,1992-12-01,2019-12-06
2019-12-06,835983,1993-01-01,2019-12-06
2019-12-06,838089,1993-02-01,2019-12-06
2019-12-06,844806,1993-03-01,2019-12-06
2019-12-06,846782,1993-04-01,2019-12-06
2019-12-06,847279,1993-05-01,2019-12-06
2019-12-06,849135,1993-06-01,2019-12-06
2019-12-06,849450,1993-07-01,2019-12-06
2019-12-06,850877,1993-08-01,2019-12-06
2019-12-06,855018,1993-09-01,2019-12-06
2019-12-06,855322,1993-10-01,2019-12-06
2019-12-06,859037,1993-11-01,2019-12-06
2019-12-06,863125,1993-12-01,2019-12-06
2019-12-06,863021,1994-01-01,2019-12-06
2019-12-06,867670,1994-02-01,2019-12-06
2019-12-06,868751,1994-03-01,2019-12-06
2019-12-06,871989,1994-04-01,2019-12-06
2019-12-06,882927,1994-05-01,2019-12-06
2019-12-06,888689,1994-06-01,2019-12-06
2019-12-06,894473,1994-07-01,2019-12-06
2019-12-06,902148,1994-08-01,2019-12-06
2019-12-06,907994,1994-09-01,2019-12-06
2019-12-06,913439,1994-10-01,2019-12-06
2019-12-06,919492,1994-11-01,2019-12-06
2019-12-06,926395,1994-12-01,2019-12-06
2019-12-06,935639,1995-01-01,2019-12-06
2019-12-06,942713,1995-02-01,2019-12-06
2019-12-06,951538,1995-03-01,2019-12-06
2019-12-06,959239,1995-04-01,2019-12-06
2019-12-06,965634,1995-05-01,2019-12-06
2019-12-06,969558,1995-06-01,2019-12-06
2019-12-06,972934,1995-07-01,2019-12-06
2019-12-06,976097,1995-08-01,2019-12-06
2019-12-06,980029,1995-09-01,2019-12-06
2019-12-06,984223,1995-10-01,2019-12-06
2019-12-06,986767,1995-11-01,2019-12-06
2019-12-06,985385,1995-12-01,2019-12-06
2019-12-06,990730,1996-01-01,2019-12-06
2019-12-06,991277,1996-02-01,2019-12-06
2019-12-06,989146,1996-03-01,2019-12-06
2019-12-06,992111,1996-04-01,2019-12-06
2019-12-06,993761,1996-05-01,2019-12-06
2019-12-06,993127,1996-06-01,2019-12-06
2019-12-06,997782,1996-07-01,2019-12-06
2019-12-06,999951,1996-08-01,2019-12-06
2019-12-06,1000678,1996-09-01,2019-12-06
2019-12-06,1004389,1996-10-01,2019-12-06
2019-12-06,1004457,1996-11-01,2019-12-06
2019-12-06,1004646,1996-12-01,2019-12-06
2019-12-06,1007785,1997-01-01,2019-12-06
2019-12-06,1010716,1997-02-01,2019-12-06
2019-12-06,1010352,1997-03-01,2019-12-06
2019-12-06,1014611,1997-04-01,2019-12-06
2019-12-06,1018535,1997-05-01,2019-12-06
2019-12-06,1024680,1997-06-01,2019-12-06
2019-12-06,1026787,1997-07-01,2019-12-06
2019-12-06,1028019,1997-08-01,2019-12-06
2019-12-06,1034401,1997-09-01,2019-12-06
2019-12-06,1038283,1997-10-01,2019-12-06
2019-12-06,1040118,1997-11-01,2019-12-06
2019-12-06,1045495,1997-12-01,2019-12-06
2019-12-06,1048304,1998-01-01,2019-12-06
2019-12-06,1054991,1998-02-01,2019-12-06
2019-12-06,1060201,1998-03-01,2019-12-06
2019-12-06,1062401,1998-04-01,2019-12-06
2019-12-06,1061497,1998-05-01,2019-12-06
2019-12-06,1061985,1998-06-01,2019-12-06
2019-12-06,1064039,1998-07-01,2019-12-06
2019-12-06,1066363,1998-08-01,2019-12-06
2019-12-06,1070815,1998-09-01,2019-12-06
2019-12-06,1073223,1998-10-01,2019-12-06
2019-12-06,1077587,1998-11-01,2019-12-06
2019-12-06,1077183,1998-12-01,2019-12-06
2019-12-06,1077080,1999-01-01,2019-12-06
2019-12-06,1082721,1999-02-01,2019-12-06
2019-12-06,1090051,1999-03-01,2019-12-06
2019-12-06,1092918,1999-04-01,2019-12-06
2019-12-06,1095905,1999-05-01,2019-12-06
2019-12-06,1098782,1999-06-01,2019-12-06
2019-12-06,1104062,1999-07-01,2019-12-06
2019-12-06,1105895,1999-08-01,2019-12-06
2019-12-06,1112246,1999-09-01,2019-12-06
2019-12-06,1115766,1999-10-01,2019-12-06
2019-12-06,1128337,1999-11-01,2019-12-06
2019-12-06,1137260,1999-12-01,2019-12-06
2019-12-06,1140023,2000-01-01,2019-12-06
2019-12-06,1146435,2000-02-01,2019-12-06
2019-12-06,1150666,2000-03-01,2019-12-06
2019-12-06,1157552,2000-04-01,2019-12-06
2019-12-06,1163974,2000-05-01,2019-12-06
2019-12-06,1174263,2000-06-01,2019-12-06
2019-12-06,1175374,2000-07-01,2019-12-06
2019-12-06,1183268,2000-08-01,2019-12-06
2019-12-06,1183463,2000-09-01,2019-12-06
2019-12-06,1189920,2000-10-01,2019-12-06
2019-12-06,1197038,2000-11-01,2019-12-06
2019-12-06,1195894,2000-12-01,2019-12-06
2019-12-06,1197945,2001-01-01,2019-12-06
2019-12-06,1191600,2001-02-01,2019-12-06
2019-12-06,1186068,2001-03-01,2019-12-06
2019-12-06,1184434,2001-04-01,2019-12-06
2019-12-06,1182109,2001-05-01,2019-12-06
2019-12-06,1173176,2001-06-01,2019-12-06
2019-12-06,1165045,2001-07-01,2019-12-06
2019-12-06,1163600,2001-08-01,2019-12-06
2019-12-06,1157242,2001-09-01,2019-12-06
2019-12-06,1139077,2001-10-01,2019-12-06
2019-12-06,1126312,2001-11-01,2019-12-06
2019-12-06,1118552,2001-12-01,2019-12-06
2019-12-06,1117388,2002-01-01,2019-12-06
2019-12-06,1111859,2002-02-01,2019-12-06
2019-12-06,1108193,2002-03-01,2019-12-06
2019-12-06,1106806,2002-04-01,2019-12-06
2019-12-06,1110725,2002-05-01,2019-12-06
2019-12-06,1112674,2002-06-01,2019-12-06
2019-12-06,1119258,2002-07-01,2019-12-06
2019-12-06,1120777,2002-08-01,2019-12-06
2019-12-06,1128958,2002-09-01,2019-12-06
2019-12-06,1130630,2002-10-01,2019-12-06
2019-12-06,1132381,2002-11-01,2019-12-06
2019-12-06,1139523,2002-12-01,2019-12-06
2019-12-06,1139589,2003-01-01,2019-12-06
2019-12-06,1148176,2003-02-01,2019-12-06
2019-12-06,1149009,2003-03-01,2019-12-06
2019-12-06,1150317,2003-04-01,2019-12-06
2019-12-06,1145246,2003-05-01,2019-12-06
2019-12-06,1142115,2003-06-01,2019-12-06
2019-12-06,1139701,2003-07-01,2019-12-06
2019-12-06,1132993,2003-08-01,2019-12-06
2019-12-06,1136935,2003-09-01,2019-12-06
2019-12-06,1143104,2003-10-01,2019-12-06
2019-12-06,1145108,2003-11-01,2019-12-06
2019-12-06,1147795,2003-12-01,2019-12-06
2019-12-06,1148368,2004-01-01,2019-12-06
2019-12-06,1158745,2004-02-01,2019-12-06
2019-12-06,1168100,2004-03-01,2019-12-06
2019-12-06,1176070,2004-04-01,2019-12-06
2019-12-06,1183161,2004-05-01,2019-12-06
2019-12-06,1195398,2004-06-01,2019-12-06
2019-12-06,1207045,2004-07-01,2019-12-06
2019-12-06,1217193,2004-08-01,2019-12-06
2019-12-06,1217197,2004-09-01,2019-12-06
2019-12-06,1225082,2004-10-01,2019-12-06
2019-12-06,1238758,2004-11-01,2019-12-06
2019-12-06,1241744,2004-12-01,2019-12-06
2019-12-06,1252326,2005-01-01,2019-12-06
2019-12-06,1261223,2005-02-01,2019-12-06
2019-12-06,1269338,2005-03-01,2019-12-06
2019-12-06,1275004,2005-04-01,2019-12-06
2019-12-06,1276182,2005-05-01,2019-12-06
2019-12-06,1276127,2005-06-01,2019-12-06
2019-12-06,1270341,2005-07-01,2019-12-06
2019-12-06,1274949,2005-08-01,2019-12-06
2019-12-06,1282491,2005-09-01,2019-12-06
2019-12-06,1291083,2005-10-01,2019-12-06
2019-12-06,1300835,2005-11-01,2019-12-06
2019-12-06,1314317,2005-12-01,2019-12-06
2019-12-06,1322998,2006-01-01,2019-12-06
2019-12-06,1327053,2006-02-01,2019-12-06
2019-12-06,1340160,2006-03-01,2019-12-06
2019-12-06,1348626,2006-04-01,2019-12-06
2019-12-06,1363376,2006-05-01,2019-12-06
2019-12-06,1375694,2006-06-01,2019-12-06
2019-12-06,1380716,2006-07-01,2019-12-06
2019-12-06,1391475,2006-08-01,2019-12-06
2019-12-06,1396608,2006-09-01,2019-12-06
2019-12-06,1401456,2006-10-01,2019-12-06
2019-12-06,1407498,2006-11-01,2019-12-06
2019-12-06,1408812,2006-12-01,2019-12-06
2019-12-06,1412528,2007-01-01,2019-12-06
2019-12-06,1419041,2007-02-01,2019-12-06
2019-12-06,1420875,2007-03-01,2019-12-06
2019-12-06,1428445,2007-04-01,2019-12-06
2019-12-06,1438525,2007-05-01,2019-12-06
2019-12-06,1445232,2007-06-01,2019-12-06
2019-12-06,1446824,2007-07-01,2019-12-06
2019-12-06,1453069,2007-08-01,2019-12-06
2019-12-06,1460689,2007-09-01,2019-12-06
2019-12-06,1466087,2007-10-01,2019-12-06
2019-12-06,1476339,2007-11-01,2019-12-06
2019-12-06,1487636,2007-12-01,2019-12-06
2019-12-06,1501758,2008-01-01,2019-12-06
2019-12-06,1507915,2008-02-01,2019-12-06
2019-12-06,1506545,2008-03-01,2019-12-06
2019-12-06,1514297,2008-04-01,2019-12-06
2019-12-06,1517116,2008-05-01,2019-12-06
2019-12-06,1526333,2008-06-01,2019-12-06
2019-12-06,1536800,2008-07-01,2019-12-06
2019-12-06,1537764,2008-08-01,2019-12-06
2019-12-06,1528045,2008-09-01,2019-12-06
2019-12-06,1515386,2008-10-01,2019-12-06
2019-12-06,1496062,2008-11-01,2019-12-06
2019-12-06,1466023,2008-12-01,2019-12-06
2019-12-06,1447932,2009-01-01,2019-12-06
2019-12-06,1426328,2009-02-01,2019-12-06
2019-12-06,1405782,2009-03-01,2019-12-06
2019-12-06,1387908,2009-04-01,2019-12-06
2019-12-06,1371396,2009-05-01,2019-12-06
2019-12-06,1353773,2009-06-01,2019-12-06
2019-12-06,1339347,2009-07-01,2019-12-06
2019-12-06,1320305,2009-08-01,2019-12-06
2019-12-06,1315428,2009-09-01,2019-12-06
2019-12-06,1323154,2009-10-01,2019-12-06
2019-12-06,1332775,2009-11-01,2019-12-06
2019-12-06,1332351,2009-12-01,2019-12-06
2019-12-06,1333102,2010-01-01,2019-12-06
2019-12-06,1340346,2010-02-01,2019-12-06
2019-12-06,1348360,2010-03-01,2019-12-06
2019-12-06,1353403,2010-04-01,2019-12-06
2019-12-06,1356385,2010-05-01,2019-12-06
2019-12-06,1367853,2010-06-01,2019-12-06
2019-12-06,1379120,2010-07-01,2019-12-06
2019-12-06,1391057,2010-08-01,2019-12-06
2019-12-06,1407393,2010-09-01,2019-12-06
2019-12-06,1422131,2010-10-01,2019-12-06
2019-12-06,1432754,2010-11-01,2019-12-06
2019-12-06,1451079,2010-12-01,2019-12-06
2019-12-06,1460462,2011-01-01,2019-12-06
2019-12-06,1469593,2011-02-01,2019-12-06
2019-12-06,1489143,2011-03-01,2019-12-06
2019-12-06,1501243,2011-04-01,2019-12-06
2019-12-06,1519517,2011-05-01,2019-12-06
2019-12-06,1527619,2011-06-01,2019-12-06
2019-12-06,1532433,2011-07-01,2019-12-06
2019-12-06,1541136,2011-08-01,2019-12-06
2019-12-06,1536053,2011-09-01,2019-12-06
2019-12-06,1547957,2011-10-01,2019-12-06
2019-12-06,1556891,2011-11-01,2019-12-06
2019-12-06,1565659,2011-12-01,2019-12-06
2019-12-06,1572125,2012-01-01,2019-12-06
2019-12-06,1585160,2012-02-01,2019-12-06
2019-12-06,1592139,2012-03-01,2019-12-06
2019-12-06,1598460,2012-04-01,2019-12-06
2019-12-06,1605537,2012-05-01,2019-12-06
2019-12-06,1610395,2012-06-01,2019-12-06
2019-12-06,1622359,2012-07-01,2019-12-06
2019-12-06,1631413,2012-08-01,2019-12-06
2019-12-06,1640563,2012-09-01,2019-12-06
2019-12-06,1643004,2012-10-01,2019-12-06
2019-12-06,1650003,2012-11-01,2019-12-06
2019-12-06,1654225,2012-12-01,2019-12-06
2019-12-06,1668998,2013-01-01,2019-12-06
2019-12-06,1669846,2013-02-01,2019-12-06
2019-12-06,1668337,2013-03-01,2019-12-06
2019-12-06,1670968,2013-04-01,2019-12-06
2019-12-06,1669501,2013-05-01,2019-12-06
2019-12-06,1669348,2013-06-01,2019-12-06
2019-12-06,1674302,2013-07-01,2019-12-06
2019-12-06,1682766,2013-08-01,2019-12-06
2019-12-06,1690541,2013-09-01,2019-12-06
2019-12-06,1701826,2013-10-01,2019-12-06
2019-12-06,1710781,2013-11-01,2019-12-06
2019-12-06,1718818,2013-12-01,2019-12-06
2019-12-06,1726264,2014-01-01,2019-12-06
2019-12-06,1734116,2014-02-01,2019-12-06
2019-12-06,1740036,2014-03-01,2019-12-06
2019-12-06,1748295,2014-04-01,2019-12-06
2019-12-06,1755384,2014-05-01,2019-12-06
2019-12-06,1758622,2014-06-01,2019-12-06
2019-12-06,1765252,2014-07-01,2019-12-06
2019-12-06,1769013,2014-08-01,2019-12-06
2019-12-06,1770491,2014-09-01,2019-12-06
2019-12-06,1776330,2014-10-01,2019-12-06
2019-12-06,1779182,2014-11-01,2019-12-06
2019-12-06,1778197,2014-12-01,2019-12-06
2019-12-06,1776922,2015-01-01,2019-12-06
2019-12-06,1782777,2015-02-01,2019-12-06
2019-12-06,1785378,2015-03-01,2019-12-06
2019-12-06,1792799,2015-04-01,2019-12-06
2019-12-06,1794183,2015-05-01,2019-12-06
2019-12-06,1804858,2015-06-01,2019-12-06
2019-12-06,1807507,2015-07-01,2019-12-06
2019-12-06,1807005,2015-08-01,2019-12-06
2019-12-06,1812066,2015-09-01,2019-12-06
2019-12-06,1813835,2015-10-01,2019-12-06
2019-12-06,1809479,2015-11-01,2019-12-06
2019-12-06,1808388,2015-12-01,2019-12-06
2019-12-06,1804626,2016-01-01,2019-12-06
2019-12-06,1799540,2016-02-01,2019-12-06
2019-12-06,1809145,2016-03-01,2019-12-06
2019-12-06,1812993,2016-04-01,2019-12-06
2019-12-06,1816701,2016-05-01,2019-12-06
2019-12-06,1818409,2016-06-01,2019-12-06
2019-12-06,1816775,2016-07-01,2019-12-06
2019-12-06,1818757,2016-08-01,2019-12-06
2019-12-06,1822060,2016-09-01,2019-12-06
2019-12-06,1820624,2016-10-01,2019-12-06
2019-12-06,1833397,2016-11-01,2019-12-06
2019-12-06,1838515,2016-12-01,2019-12-06
2019-12-06,1840905,2017-01-01,2019-12-06
2019-12-06,1844190,2017-02-01,2019-12-06
2019-12-06,1851701,2017-03-01,2019-12-06
2019-12-06,1846961,2017-04-01,2019-12-06
2019-12-06,1853153,2017-05-01,2019-12-06
2019-12-06,1861409,2017-06-01,2019-12-06
2019-12-06,1866102,2017-07-01,2019-12-06
2019-12-06,1878756,2017-08-01,2019-12-06
2019-12-06,1882225,2017-09-01,2019-12-06
2019-12-06,1883035,2017-10-01,2019-12-06
2019-12-06,1892270,2017-11-01,2019-12-06
2019-12-06,1900128,2017-12-01,2019-12-06
2019-12-06,1910650,2018-01-01,2019-12-06
2019-12-06,1920723,2018-02-01,2019-12-06
2019-12-06,1921801,2018-03-01,2019-12-06
2019-12-06,1926701,2018-04-01,2019-12-06
2019-12-06,1934054,2018-05-01,2019-12-06
2019-12-06,1934716,2018-06-01,2019-12-06
2019-12-06,1948232,2018-07-01,2019-12-06
2019-12-06,1959161,2018-08-01,2019-12-06
2019-12-06,1968204,2018-09-01,2019-12-06
2019-12-06,1980310,2018-10-01,2019-12-06
2019-12-06,1979978,2018-11-01,2019-12-06
2019-12-06,1993868,2018-12-01,2019-12-06
2019-12-06,2010849,2019-01-01,2019-12-06
2019-12-06,2018638,2019-02-01,2019-12-06
2019-12-06,2018737,2019-03-01,2019-12-06
2019-12-06,2029828,2019-04-01,2019-12-06
2019-12-06,2035784,2019-05-01,2019-12-06
2019-12-06,2035201,2019-06-01,2019-12-06
2019-12-06,2041782,2019-07-01,2019-12-06
2019-12-06,2040517,2019-08-01,2019-12-06
2019-12-06,2041533,2019-09-01,2019-12-06
